,State,County,TotalPopEst2015,TotalPopEst2016,TotalPopEst2017,TotalPopEst2018,TotalPopEst2019,AveragePop2015to2019
347,FL,Flagler,104436,107406,109999,112085,115081,109801.4
348,FL,Franklin,11707,11823,11724,11676,12125,11811.0
349,FL,Gadsden,46060,46086,45993,45927,45660,45945.2
350,FL,Gilchrist,17378,17622,17900,18284,18582,17953.2
351,FL,Glades,13099,13406,13580,13686,13811,13516.4
352,FL,Gulf,15929,16062,16105,16146,13639,15576.2
353,FL,Hamilton,14272,14303,14364,14262,14428,14325.8
354,FL,Hardee,27177,27219,27154,27168,26937,27131.0
355,FL,Hendry,39248,40037,41018,41336,42022,40732.2
356,FL,Hernando,177900,182459,186704,190582,193920,186313.0
357,FL,Highlands,100137,102041,103852,104933,106221,103436.8
358,FL,Hillsborough,1364073,1396693,1426736,1451919,1471968,1422277.8
359,FL,Holmes,19273,19398,19427,19443,19617,19431.6
360,FL,Indian River,147434,151159,154241,157187,159923,153988.8
361,FL,Jackson,48609,48299,48289,48112,46414,47944.6
362,FL,Jefferson,14115,13960,14165,14321,14246,14161.4
363,FL,Lafayette,8724,8747,8602,8691,8422,8637.2
364,FL,Lake,325154,334913,345432,356720,367118,345867.4
365,FL,Lee,699644,722649,740000,754470,770577,737468.0
366,FL,Leon,285904,286744,290965,291657,293582,289770.4
367,FL,Levy,39601,39837,40276,40798,41503,40403.0
368,FL,Liberty,8409,8300,8236,8427,8354,8345.2
369,FL,Madison,18478,18316,18474,18540,18493,18460.2
370,FL,Manatee,362548,375373,385506,394387,403253,384213.4
371,FL,Marion,342182,347469,353339,359062,365579,353526.2
372,FL,Martin,155559,158325,159701,160742,161000,159065.4
373,FL,Miami-Dade,2659839,2692213,2713295,2714854,2716940,2699428.2
374,FL,Monroe,76648,76872,76483,74757,74228,75797.6
375,FL,Nassau,77951,80055,82925,85936,88625,83098.4
376,FL,Okaloosa,197748,200071,203478,206934,210738,203793.8
377,FL,Okeechobee,39854,40769,41275,41654,42168,41144.0
378,FL,Orange,1291301,1326516,1355921,1381540,1393452,1349746.0
379,FL,Osceola,323736,338209,353623,368456,375751,351955.0
380,FL,Palm Beach,1424256,1450890,1470344,1482876,1496770,1465027.2
381,FL,Pasco,494895,509937,525141,539090,553947,524602.0
382,FL,Pinellas,947060,959874,968341,973058,974996,964665.8
383,FL,Polk,648523,665823,685368,706597,724777,686217.6
384,FL,Putnam,71939,72373,73384,74043,74521,73252.0
385,FL,St. Johns,226362,234828,243693,253814,264672,244673.8
386,FL,St. Lucie,297282,305566,313163,320425,328297,312946.6
387,FL,Santa Rosa,166226,169894,174049,179295,184313,174755.4
388,FL,Sarasota,404761,412968,419680,426329,433742,419496.0
389,FL,Seminole,448318,455945,462801,468122,471826,461402.4
390,FL,Sumter,117076,122009,124995,128719,132420,125043.8
391,FL,Suwannee,43677,43834,44124,44179,44417,44046.2
392,FL,Taylor,22355,22099,21781,21545,21569,21869.8
393,FL,Union,15265,15238,15448,15328,15237,15303.2
394,FL,Volusia,516730,528453,537868,546101,553284,536487.2
395,FL,Wakulla,31523,31882,32050,32413,33739,32321.4
396,FL,Walton,63066,65421,68021,70732,74071,68262.2
397,FL,Washington,24552,24454,24546,24793,25473,24763.6
398,GA,Georgia,10178447,10301890,10410330,10511131,10617423,10403844.2
399,GA,Appling,18423,18428,18438,18526,18386,18440.2
400,GA,Atkinson,8340,8244,8182,8262,8165,8238.6
401,GA,Bacon,11231,11275,11205,11132,11164,11201.4
402,GA,Baker,3194,3183,3159,3086,3038,3132.0
403,GA,Baldwin,45549,45259,44963,44893,44890,45110.8
404,GA,Banks,18381,18325,18628,18972,19234,18708.0
405,GA,Barrow,74979,77000,78899,80834,83240,78990.4
406,GA,Bartow,102043,103338,105098,106378,107738,104919.0
407,GA,Ben Hill,17357,17251,17037,16822,16700,17033.4
408,GA,Berrien,18991,18996,19108,19266,19397,19151.6
409,GA,Bibb,153945,153152,152840,152903,153159,153199.8
410,GA,Bleckley,12714,12864,12764,12821,12873,12807.2
411,GA,Brantley,18437,18415,18832,18985,19109,18755.6
412,GA,Brooks,15670,15725,15617,15479,15457,15589.6
413,GA,Bryan,34792,35839,36999,38059,39627,37063.2
414,GA,Bulloch,73116,74642,75991,77242,79608,76119.8
415,GA,Burke,22632,22601,22545,22439,22383,22520.0
416,GA,Butts,23520,23736,24067,24192,24936,24090.2
417,GA,Calhoun,6534,6359,6389,6353,6189,6364.8
418,GA,Camden,52439,52394,53005,53651,54666,53231.0
419,GA,Candler,10873,10849,10706,10827,10803,10811.6
420,GA,Carroll,114461,116077,117390,117997,119992,117183.4
421,GA,Catoosa,65778,66265,66495,67380,67580,66699.6
422,GA,Charlton,13239,12842,12810,12919,13392,13040.4
423,GA,Chatham,285959,288615,289309,289166,289430,288495.8
424,GA,Chattahoochee,11042,10047,10205,10600,10907,10560.2
425,GA,Chattooga,24905,24836,24746,24782,24789,24811.6
426,GA,Cherokee,235329,241795,247763,253914,258773,247514.8
427,GA,Clarke,123561,124905,126815,127268,128331,126176.0
428,GA,Clay,3077,3005,2955,2884,2834,2951.0
429,GA,Clayton,272720,279333,284184,289197,292256,283538.0
430,GA,Clinch,6826,6742,6643,6603,6618,6686.4
431,GA,Cobb,739052,748178,752649,756070,760141,751218.0
432,GA,Coffee,42987,42908,42880,43055,43273,43020.6
433,GA,Colquitt,45466,45429,45480,45455,45600,45486.0
434,GA,Columbia,143837,147370,151529,154077,156714,150705.4
435,GA,Cook,17070,17162,17213,17171,17270,17177.2
436,GA,Coweta,138145,140497,143153,145998,148509,143260.4
437,GA,Crawford,12354,12268,12263,12334,12404,12324.6
438,GA,Crisp,22959,22905,22710,22617,22372,22712.6
439,GA,Dade,16162,16224,16254,16227,16116,16196.6
440,GA,Dawson,23369,23668,24406,25127,26108,24535.6
441,GA,Decatur,27049,26679,26706,26573,26404,26682.2
442,GA,DeKalb,734434,746802,751176,754906,759297,749323.0
443,GA,Dodge,21142,20854,20749,20793,20605,20828.6
444,GA,Dooly,14034,13853,13691,13709,13390,13735.4
445,GA,Dougherty,91513,90389,89457,89200,87956,89703.0
446,GA,Douglas,140173,141664,143376,145024,146343,143316.0
447,GA,Early,10462,10306,10317,10286,10190,10312.2
