,State,County,Latitude,Longitude,TotalVets,MaleVets,FemaleVets,WhiteVets,BlackVets,HispanicVets,OtherRaceVets,LessThanHSVets,HighSchOnlyVets,SomeCollegeVets,CollegeDegreeVets,EmployeedVets,UnemployeedVets
2853,UT,Wayne,39.4997605,-111.547028,108,106,2,108,0,0,0,20,18,40,28,43,0
2854,UT,Weber,39.4997605,-111.547028,13753,12639,1112,11672,391,1180,819,539,3048,5829,4335,11367,453
2855,VT,Vermont,43.8717545,-72.4477828,36988,33919,3068,35379,313,376,1029,2274,12961,11207,10544,27698,858
2856,VT,Addison,43.8717545,-72.4477828,2038,1913,123,1973,0,13,51,137,614,565,719,1629,42
2857,VT,Bennington,43.8717545,-72.4477828,2344,2234,110,2267,22,0,53,189,863,565,726,1438,35
2858,VT,Caledonia,43.8717545,-72.4477828,2024,1784,239,1956,0,6,62,105,861,629,427,1304,76
2859,VT,Chittenden,43.8717545,-72.4477828,7760,7107,652,7395,109,116,213,352,2108,2462,2836,6640,138
2860,VT,Essex,43.8717545,-72.4477828,586,559,26,566,0,13,6,64,346,129,44,407,0
2861,VT,Franklin,43.8717545,-72.4477828,2847,2493,353,2695,24,7,121,220,1156,984,485,2162,42
2862,VT,Grand Isle,43.8717545,-72.4477828,474,444,29,468,5,0,0,14,144,157,157,397,48
2863,VT,Lamoille,43.8717545,-72.4477828,1540,1432,106,1509,0,13,17,119,457,569,393,1291,93
2864,VT,Orange,43.8717545,-72.4477828,2047,1870,176,1931,25,19,69,121,841,632,451,1503,50
2865,VT,Orleans,43.8717545,-72.4477828,1886,1757,127,1814,17,14,45,185,753,649,298,1196,7
2866,VT,Rutland,43.8717545,-72.4477828,3510,3188,320,3338,34,59,83,208,1330,1124,846,2279,15
2867,VT,Washington,43.8717545,-72.4477828,3367,3094,271,3153,48,68,102,132,1120,1056,1057,2543,79
2868,VT,Windham,43.8717545,-72.4477828,2821,2643,177,2743,5,5,64,178,1027,697,916,2127,144
2869,VT,Windsor,43.8717545,-72.4477828,3744,3393,351,3567,21,39,136,242,1331,983,1186,2598,62
